doc_id	chunk_id	subject	predicate	object	evidence	confidence	evaluation_layer	object_normalized
vte_v2_2025	36	Warfarin	HAS_ELIGIBILITY	at least 5 to 7 days overlap with DTI or fondaparinux	Discontinue DTI or fondaparinux after at least 5 to 7 days overlap	HIGH	context_attribute	at least 5 to 7 days overlap with dti or fondaparinux
vte_v2_2025	36	Intravenous Immunoglobulin	HAS_FREQUENCY	daily x2	1 g/kg IV daily x2	HIGH	core_relation	daily x2
vte_v2_2025	36	Intravenous Immunoglobulin	HAS_ROUTE	IV	1 g/kg IV daily x2	HIGH	core_relation	iv
vte_v2_2025	36	Warfarin	HAS_ROUTE	oral	poor oral intake	MEDIUM	core_relation	oral
vte_v2_2025	36	Intravenous Immunoglobulin	INDICATED_FOR_STAGE	second-line	Used as a second-line agent.	HIGH	context_attribute	second-line
vte_v2_2025	36	Bivalirudin	TREATS	heparin-induced thrombocytopenia	Bivalirudin for the treatment of patients with confirmed or suspected heparin-induced thrombocytopenia.	HIGH	core_relation	heparin-induced thrombocytopenia
vte_v2_2025	36	Intravenous Immunoglobulin	TREATS	refractory HIT	Intravenous Immunoglobulin (refractory HIT, autoimmune HIT, or patients at high risk of bleeding who have HIT)	HIGH	core_relation	refractory hit
vte_v2_2025	36	Intravenous Immunoglobulin	TREATS	autoimmune HIT	Intravenous Immunoglobulin (refractory HIT, autoimmune HIT, or patients at high risk of bleeding who have HIT)	HIGH	core_relation	autoimmune hit
vte_v2_2025	36	Intravenous Immunoglobulin	USED_IN_POPULATION	high risk of bleeding who have HIT	Intravenous Immunoglobulin (refractory HIT, autoimmune HIT, or patients at high risk of bleeding who have HIT)	HIGH	context_attribute	high risk of bleeding who have hit
vte_v2_2025	36	Warfarin	USED_IN_POPULATION	aged >75 years	consider lower dose for patients: age >75 years	HIGH	context_attribute	aged >75 years
vte_v2_2025	36	Warfarin	USED_IN_POPULATION	CYP2C9 inhibitors	consider lower dose for patients: ... CYP2C9 inhibitors	HIGH	context_attribute	cyp2c9 inhibitors
vte_v2_2025	36	Warfarin	USED_IN_POPULATION	poor oral intake	consider lower dose for patients: ... poor oral intake	HIGH	context_attribute	poor oral intake
vte_v2_2025	36	Warfarin	USED_IN_POPULATION	liver disease	consider lower dose for patients: ... liver disease	HIGH	context_attribute	liver disease
vte_v2_2025	36	chromogenic factor X activity	USED_IN_POPULATION	DTI and warfarin co-therapy	chromogenic factor X activity, which is not affected by DTIs, can be used to monitor warfarin during co-therapy	HIGH	context_attribute	dti and warfarin co-therapy
ped_hodgkin_v2_2025	43	AEPA	COMBINED_WITH	CAPDAC	AEPA followed by 4 cycles of CAPDAC	HIGH	core_relation	capdac
ped_hodgkin_v2_2025	43	CAPDAC	COMBINED_WITH	ISRT	patients who experience inadequate response are treated with 4 cycles of CAPDAC and ISRT	HIGH	core_relation	isrt
ped_hodgkin_v2_2025	43	CAPDAC	COMBINED_WITH	RNRT	patients who experience inadequate response are treated with 4 cycles of CAPDAC and RNRT	HIGH	core_relation	rnrt
ped_hodgkin_v2_2025	43	COPDAC	COMBINED_WITH	ISRT	patients who experience inadequate response are treated with 2 cycles of COPDAC and ISRT	HIGH	core_relation	isrt
ped_hodgkin_v2_2025	43	ISRT	COMBINED_WITH	COPDAC	patients who experience inadequate response are treated with 2 cycles of COPDAC and ISRT	HIGH	core_relation	copdac
ped_hodgkin_v2_2025	43	OEPA	COMBINED_WITH	COPDAC	OEPA followed by 4 cycles of COPDAC	HIGH	core_relation	copdac
ped_hodgkin_v2_2025	43	nivolumab-AVD	HAS_DOSE	6 cycles	6 cycles are recommended prior to response assessment	HIGH	core_relation	6 cycles
ped_hodgkin_v2_2025	43	nivolumab-AVD	HAS_STRENGTH	preferred	nivolumab-AVD according to SWOG S1826 as the preferred strategies	HIGH	core_relation	preferred
ped_hodgkin_v2_2025	43	AEPA	INDICATED_FOR_STAGE	initial therapy	after 2 initial cycles of AEPA, patients who experience adequate response are treated with 4 cycles of CAPDAC	HIGH	context_attribute	initial therapy
ped_hodgkin_v2_2025	43	CAPDAC	INDICATED_FOR_STAGE	post-initial therapy	patients who experience adequate response are treated with 4 cycles of CAPDAC	HIGH	context_attribute	post-initial therapy
ped_hodgkin_v2_2025	43	CAPDAC	INDICATED_FOR_STAGE	post-initial therapy	patients who experience inadequate response are treated with 4 cycles of CAPDAC and RNRT	HIGH	context_attribute	post-initial therapy
ped_hodgkin_v2_2025	43	CAPDAC	INDICATED_FOR_STAGE	post-initial therapy	patients who experience adequate response are treated with 4 cycles of CAPDAC	HIGH	context_attribute	post-initial therapy
ped_hodgkin_v2_2025	43	CAPDAC	INDICATED_FOR_STAGE	post-initial therapy	patients who experience inadequate response are treated with 4 cycles of CAPDAC and ISRT	HIGH	context_attribute	post-initial therapy
ped_hodgkin_v2_2025	43	COPDAC	INDICATED_FOR_STAGE	post-initial therapy	patients who experience adequate response are treated with 2 cycles of COPDAC	HIGH	context_attribute	post-initial therapy
ped_hodgkin_v2_2025	43	COPDAC	INDICATED_FOR_STAGE	post-initial therapy	patients who experience inadequate response are treated with 2 cycles of COPDAC and ISRT	HIGH	context_attribute	post-initial therapy
ped_hodgkin_v2_2025	43	HLHR13	INDICATED_FOR_STAGE	certain circumstances	Treatment according to HLHR13 and TG-3 of EuroNet PHL-C1 may be useful in certain circumstances.	HIGH	context_attribute	certain circumstances
ped_hodgkin_v2_2025	43	ISRT	INDICATED_FOR_STAGE	sites of inadequate response	ISRT (to all sites and boost to sites of inadequate response)	HIGH	context_attribute	sites of inadequate response
ped_hodgkin_v2_2025	43	OEPA	INDICATED_FOR_STAGE	initial therapy	after 2 initial cycles of OEPA	HIGH	context_attribute	initial therapy
ped_hodgkin_v2_2025	43	OEPA	INDICATED_FOR_STAGE	initial therapy	following 2 initial cycles of OEPA, patients who experience adequate response are treated with 4 cycles of CAPDAC	HIGH	context_attribute	initial therapy
ped_hodgkin_v2_2025	43	RNRT	INDICATED_FOR_STAGE	sites of inadequate response	RNRT to sites of inadequate response	HIGH	context_attribute	sites of inadequate response
ped_hodgkin_v2_2025	43	TG-3	INDICATED_FOR_STAGE	certain circumstances	Treatment according to HLHR13 and TG-3 of EuroNet PHL-C1 may be useful in certain circumstances.	HIGH	context_attribute	certain circumstances
ped_hodgkin_v2_2025	43	ABVD	USED_IN_POPULATION	pediatric patients >18 years of age	ABVD regimen, as well as other adult regimens may be considered for pediatric patients >18 years of age	HIGH	context_attribute	pediatric patients >18 years of age
ped_hodgkin_v2_2025	43	Bv-AVD	USED_IN_POPULATION	≥12 years of age	Bv-AVD is only recommended for patients ≥12 years of age	HIGH	context_attribute	≥12 years of age
ped_hodgkin_v2_2025	43	Bv-AVD	USED_IN_POPULATION	unable to receive or tolerate a checkpoint inhibitor	for patients that are unable to receive or tolerate a checkpoint inhibitor (CPI)	HIGH	context_attribute	unable to receive or tolerate a checkpoint inhibitor
ped_hodgkin_v2_2025	43	nivolumab-AVD	USED_IN_POPULATION	≥12 years of age	Nivolumab-AVD has only been studied in patients ≥12 years of age	HIGH	context_attribute	≥12 years of age
ped_cns_v3_2025	48	oral etoposide	ACHIEVES_OUTCOME	partial response	Three out of the four patients with medulloblastoma exhibited a partial response	HIGH	context_attribute	partial response
ped_cns_v3_2025	48	oral etoposide	ACHIEVES_OUTCOME	complete response	one with a complete response and one with a partial response	HIGH	context_attribute	complete response
ped_cns_v3_2025	48	bevacizumab	ALTERNATIVE_TO	FDA-approved biosimilar	bevacizumab (or a U.S. Food and Drug Administration [FDA]-approved biosimilar)	HIGH	core_relation	fda-approved biosimilar
ped_cns_v3_2025	48	lomustine	ALTERNATIVE_TO	carmustine	single-agent nitrosoureas (lomustine or carmustine)	HIGH	core_relation	carmustine
ped_cns_v3_2025	48	nitrosoureas	ALTERNATIVE_TO	carmustine	single-agent nitrosoureas (lomustine or carmustine)	HIGH	core_relation	carmustine
ped_cns_v3_2025	48	bevacizumab	COMBINED_WITH	RT	addition of bevacizumab to RT plus TMZ	HIGH	core_relation	rt
ped_cns_v3_2025	48	bevacizumab	COMBINED_WITH	TMZ	addition of bevacizumab to RT plus TMZ	HIGH	core_relation	tmz
ped_cns_v3_2025	48	oral etoposide	HAS_DOSE	daily for 21 consecutive days	received daily oral etoposide for 21 consecutive days	HIGH	core_relation	daily for 21 consecutive days
ped_cns_v3_2025	48	oral etoposide	HAS_FREQUENCY	courses repeating every 28 days	courses repeating every 28 days pending bone marrow recovery	HIGH	core_relation	courses repeating every 28 days
ped_cns_v3_2025	48	bevacizumab	HAS_ROUTE	single agent	reserved use of bevacizumab...as a single agent in the palliative setting	HIGH	core_relation	single agent
ped_cns_v3_2025	48	oral etoposide	HAS_ROUTE	oral	daily oral etoposide	HIGH	core_relation	oral
ped_cns_v3_2025	48	bevacizumab	INDICATED_FOR_STAGE	palliative setting	reserved use of bevacizumab...as a single agent in the palliative setting	HIGH	context_attribute	palliative setting
ped_cns_v3_2025	48	bevacizumab	INDICATED_FOR_STAGE	newly diagnosed non-pontine high-grade gliomas	treatment of pediatric patients...with newly diagnosed non-pontine highgrade gliomas	HIGH	context_attribute	newly diagnosed non-pontine high-grade gliomas
ped_cns_v3_2025	48	maximal safe resection	INDICATED_FOR_STAGE	primary treatment	For primary treatment of pediatric diffuse high-grade gliomas, the NCCN Guidelines recommend maximal safe resection	HIGH	context_attribute	primary treatment
ped_cns_v3_2025	48	oral etoposide	INDICATED_FOR_STAGE	recurrent	children with recurrent brain and solid tumors received daily oral etoposide	HIGH	context_attribute	recurrent
ped_cns_v3_2025	48	oral etoposide	INDICATED_FOR_STAGE	palliative	may receive palliative chemotherapy with oral etoposide	HIGH	context_attribute	palliative
ped_cns_v3_2025	48	bevacizumab	TREATS	diffuse high-grade gliomas	addition of bevacizumab to RT plus TMZ for treatment of pediatric patients...with newly diagnosed non-pontine highgrade gliomas	HIGH	core_relation	diffuse high-grade gliomas
ped_cns_v3_2025	48	oral etoposide	TREATS	recurrent brain tumors	demonstrating activity for etoposide in recurrent brain tumors	HIGH	core_relation	recurrent brain tumors
ped_cns_v3_2025	48	oral etoposide	TREATS	medulloblastoma	Three out of the four patients with medulloblastoma exhibited a partial response	HIGH	core_relation	medulloblastoma
ped_cns_v3_2025	48	oral etoposide	TREATS	ependymoma	two of the five patients with ependymoma had a response	HIGH	core_relation	ependymoma
ped_cns_v3_2025	48	bevacizumab	USED_IN_POPULATION	poor performance status	Patients with poor performance status may receive palliative chemotherapy with...bevacizumab	HIGH	context_attribute	poor performance status
ped_cns_v3_2025	48	bevacizumab	USED_IN_POPULATION	recurrent or progressive disease	reserved use of bevacizumab...as a single agent in the palliative setting for patients with recurrent or progressive disease	HIGH	context_attribute	recurrent or progressive disease
ped_cns_v3_2025	48	bevacizumab	USED_IN_POPULATION	pediatric patients aged 3-18 years	pediatric patients ( N=121; aged between 3 and 18 years)	HIGH	context_attribute	pediatric patients aged 3-18 years
ped_cns_v3_2025	48	oral etoposide	USED_IN_POPULATION	children	28 children with recurrent brain and solid tumors received daily oral etoposide	HIGH	context_attribute	children
ped_cns_v3_2025	48	oral etoposide	USED_IN_POPULATION	poor performance status	Patients with poor performance status may receive palliative chemotherapy with oral etoposide	HIGH	context_attribute	poor performance status
colon_v4_2025	5	SBRT	ACHIEVES_OUTCOME	durable local control	SBRT or other hypofractionated regimens with BED10>100 Gy are preferred...to provide durable local control.	HIGH	context_attribute	durable local control
colon_v4_2025	5	hypofractionated regimens	ACHIEVES_OUTCOME	durable local control	SBRT or other hypofractionated regimens with BED10>100 Gy are preferred...to provide durable local control.	HIGH	context_attribute	durable local control
colon_v4_2025	5	nivolumab and hyaluronidase-nvhy	ALTERNATIVE_TO	IV nivolumab	for nivolumab monotherapy, nivolumab and hyaluronidase-nvhy subcutaneous injection may be substituted for IV nivolumab.	HIGH	core_relation	iv nivolumab
colon_v4_2025	5	Encorafenib	COMBINED_WITH	cetuximab	Encorafenib + (cetuximab or panitumumab) + FOLFOX regimen	HIGH	core_relation	cetuximab
colon_v4_2025	5	Encorafenib	COMBINED_WITH	panitumumab	Encorafenib + (cetuximab or panitumumab) + FOLFOX regimen	HIGH	core_relation	panitumumab
colon_v4_2025	5	SBRT	COMBINED_WITH	other metastatic-directed therapies	SBRT ean be used atone or in conjunetion with other metastatic-directed therapies for patients with oligometastatic disease.	HIGH	core_relation	other metastatic-directed therapies
colon_v4_2025	5	HAI chemotherapy	CONTRAINDICATED_IN	concurrent bevacizumab or other VEGF inhibitors	HAI chemotherapy cannot be delivered with concurrent bevacizumab or other VEGF inhibitors	HIGH	core_relation	concurrent bevacizumab or other vegf inhibitors
colon_v4_2025	5	SBRT	HAS_DOSE	30-60 Gy	SBRT: 30-60 Gy (typieally in 3-5 fractions).	HIGH	core_relation	30-60 gy
colon_v4_2025	5	Encorafenib + cetuximab + FOLFOX	HAS_EVIDENCE_LEVEL	category 2a	Encorafenib + (cetuximab or panitumumab) + FOLFOX regimen added as a category 2A recommendation	HIGH	core_relation	category 2a
colon_v4_2025	5	Encorafenib + cetuximab + FOLFOX	HAS_EVIDENCE_LEVEL	category 2b	Encorafenib + (cetuximab or panitumumab) + FOLFOX regimen added as a category 2B recommendation	HIGH	core_relation	category 2b
colon_v4_2025	5	Encorafenib + panitumumab + FOLFOX	HAS_EVIDENCE_LEVEL	category 2a	Encorafenib + (cetuximab or panitumumab) + FOLFOX regimen added as a category 2A recommendation	HIGH	core_relation	category 2a
colon_v4_2025	5	SBRT	HAS_FREQUENCY	3-5 fractions	SBRT: 30-60 Gy (typieally in 3-5 fractions).	HIGH	core_relation	3-5 fractions
colon_v4_2025	5	nivolumab and hyaluronidase-nvhy	HAS_ROUTE	subcutaneous injection	nivolumab and hyaluronidase-nvhy subcutaneous injection may be substituted for IV nivolumab.	HIGH	core_relation	subcutaneous injection
colon_v4_2025	5	SBRT	HAS_STRENGTH	preferred	SBRT or other hypofractionated regimens with BED10>100 Gy are preferred in the context of oligometastatic disease	HIGH	core_relation	preferred
colon_v4_2025	5	Encorafenib + cetuximab + FOLFOX	INDICATED_FOR_STAGE	initial therapy for advanced or metastatic disease	Encorafenib + (cetuximab or panitumumab) + FOLFOX regimen added as a category 2A recommendation for BRAF V600E mutation positive	HIGH	context_attribute	initial therapy for advanced or metastatic disease
colon_v4_2025	5	Encorafenib + cetuximab + FOLFOX	INDICATED_FOR_STAGE	second-line and subsequent therapy	Encorafenib + (cetuximab or panitumumab) + FOLFOX regimen added as a category 2B recommendation for BRAF V600E mutation positive	HIGH	context_attribute	second-line and subsequent therapy
colon_v4_2025	5	Encorafenib + panitumumab + FOLFOX	INDICATED_FOR_STAGE	initial therapy for advanced or metastatic disease	Encorafenib + (cetuximab or panitumumab) + FOLFOX regimen added as a category 2A recommendation for BRAF V600E mutation positive	HIGH	context_attribute	initial therapy for advanced or metastatic disease
colon_v4_2025	5	Encorafenib + panitumumab + FOLFOX	INDICATED_FOR_STAGE	second-line and subsequent therapy	Encorafenib + (cetuximab or panitumumab) + FOLFOX regimen added as a category 2B recommendation for BRAF V600E mutation positive	HIGH	context_attribute	second-line and subsequent therapy
colon_v4_2025	5	SBRT	INDICATED_FOR_STAGE	oligometastatic disease	Consider SBRT for patients with oligemetastatic disease.	HIGH	context_attribute	oligometastatic disease
colon_v4_2025	5	Encorafenib + cetuximab + FOLFOX	USED_IN_POPULATION	BRAF V600E mutation positive	Encorafenib + (cetuximab or panitumumab) + FOLFOX regimen added as a category 2A recommendation for BRAF V600E mutation positive	HIGH	context_attribute	braf v600e mutation positive
colon_v4_2025	5	SBRT	USED_IN_POPULATION	oligometastatic disease	SBRT or other hypofractionated regimens with BED10>100 Gy are preferred in the context of oligometastatic disease	HIGH	context_attribute	oligometastatic disease
colon_v4_2025	5	SBRT	USED_IN_POPULATION	larger lesions or more extensive disease, if sufficient uninvolved liver/lung	SBRT can be considered for larger lesions or more extensive disease, if there is sufficient uninvolved liver/lung	HIGH	context_attribute	larger lesions or more extensive disease, if sufficient uninvolved liver/lung
colon_v4_2025	5	SBRT	USED_IN_POPULATION	limited number of liver or lung metastases	In patients with a limited number of liver or lung metastases, ablative radiotherapy to the metastatic site can be considered	HIGH	context_attribute	limited number of liver or lung metastases
colon_v4_2025	5	ablative radiotherapy	USED_IN_POPULATION	unresectable metastasis	Ablative radiotherapy can be considered for patients with unresectable metastasis	HIGH	context_attribute	unresectable metastasis
colon_v4_2025	5	ablative radiotherapy	USED_IN_POPULATION	nonoperative approach	Ablative radiotherapy can be considered...in patients preferring a nonoperative approach.	HIGH	context_attribute	nonoperative approach
testicular_v2_2025	57	BEP	ALTERNATIVE_TO	EP	three cycles of BEP or four cycles of EP	HIGH	core_relation	ep
testicular_v2_2025	57	BEP	HAS_DOSE	three cycles	chemotherapy with three cycles of BEP	HIGH	core_relation	three cycles
testicular_v2_2025	57	EP	HAS_DOSE	four cycles	four cycles of EP	HIGH	core_relation	four cycles
testicular_v2_2025	57	EP	HAS_DOSE	two cycles	chemotherapy with two cycles of EP	HIGH	core_relation	two cycles
testicular_v2_2025	57	BEP	HAS_STRENGTH	preferred	both BEP and EP are preferred regimens	HIGH	core_relation	preferred
testicular_v2_2025	57	BEP	HAS_STRENGTH	category 1	both category 1; both preferred	HIGH	core_relation	category 1
testicular_v2_2025	57	EP	HAS_STRENGTH	preferred	both BEP and EP are preferred regimens	HIGH	core_relation	preferred
testicular_v2_2025	57	BEP	INDICATED_FOR_STAGE	stage IIA nonseminoma	the NCCN Panel recommends either nerve-sparing RPLND or chemotherapy with three cycles of BEP or four cycles of EP as primary treatment options	HIGH	context_attribute	stage iia nonseminoma
testicular_v2_2025	57	BEP	INDICATED_FOR_STAGE	stage IIA seminoma	the NCCN Panel recommends first-line chemotherapy with three cycles of BEP or four cycles of EP	HIGH	context_attribute	stage iia seminoma
testicular_v2_2025	57	BEP	INDICATED_FOR_STAGE	stage IIB nonseminoma	patients may receive first-line chemotherapy with either three cycles of BEP or four cycles of EP (both preferred)	HIGH	context_attribute	stage iib nonseminoma
testicular_v2_2025	57	BEP	INDICATED_FOR_STAGE	stage IIB nonseminoma	first-line chemotherapy (three cycles of BEP or four cycles of EP; both preferred) is recommended	HIGH	context_attribute	stage iib nonseminoma
testicular_v2_2025	57	BEP	INDICATED_FOR_STAGE	stage IIB nonseminoma	first-line chemotherapy with either three cycles of BEP or four cycles of EP (both category 1; both preferred)	HIGH	context_attribute	stage iib nonseminoma
testicular_v2_2025	57	EP	INDICATED_FOR_STAGE	stage IIA seminoma	the NCCN Panel recommends first-line chemotherapy with three cycles of BEP or four cycles of EP	HIGH	context_attribute	stage iia seminoma
testicular_v2_2025	57	EP	INDICATED_FOR_STAGE	stage IIB nonseminoma	patients may receive first-line chemotherapy with either three cycles of BEP or four cycles of EP (both preferred)	HIGH	context_attribute	stage iib nonseminoma
testicular_v2_2025	57	EP	INDICATED_FOR_STAGE	stage IIB nonseminoma	first-line chemotherapy (three cycles of BEP or four cycles of EP; both preferred) is recommended	HIGH	context_attribute	stage iib nonseminoma
testicular_v2_2025	57	EP	INDICATED_FOR_STAGE	stage IIB nonseminoma	first-line chemotherapy with either three cycles of BEP or four cycles of EP (both category 1; both preferred)	HIGH	context_attribute	stage iib nonseminoma
testicular_v2_2025	57	RPLND	INDICATED_FOR_STAGE	stage II tumors with somatic type malignancy	RPLND is preferred as primary treatment for stage II tumors with somatic type malignancy	HIGH	context_attribute	stage ii tumors with somatic type malignancy
testicular_v2_2025	57	nerve-sparing RPLND	INDICATED_FOR_STAGE	stage IIA nonseminoma	the NCCN Panel recommends either nerve-sparing RPLND or chemotherapy with three cycles of BEP or four cycles of EP as primary treatment options	HIGH	context_attribute	stage iia nonseminoma
testicular_v2_2025	57	surveillance	INDICATED_FOR_STAGE	patients with pN0 disease after primary nerve-sparing RPLND	surveillance is recommended for this group	HIGH	context_attribute	patients with pn0 disease after primary nerve-sparing rplnd
testicular_v2_2025	57	surveillance	INDICATED_FOR_STAGE	patients with pN1 disease after primary nerve-sparing RPLND	Surveillance is also the preferred option for patients with pN1 disease	HIGH	context_attribute	patients with pn1 disease after primary nerve-sparing rplnd
testicular_v2_2025	57	bleomycin-free regimen	USED_IN_POPULATION	higher risk for bleomycin-related complications	A bleomycin-free regimen should be given to patients at higher risk for bleomycin-related complications	HIGH	context_attribute	higher risk for bleomycin-related complications
testicular_v2_2025	57	bleomycin-free regimen	USED_IN_POPULATION	aged >50 years	patients aged >50 years	HIGH	context_attribute	aged >50 years
testicular_v2_2025	57	bleomycin-free regimen	USED_IN_POPULATION	diminished renal function	those with diminished renal function	HIGH	context_attribute	diminished renal function
testicular_v2_2025	57	first-line chemotherapy (BEP or EP)	USED_IN_POPULATION	multifocal disease	Chemotherapy is considered particularly appropriate if the patient has multifocal disease	HIGH	context_attribute	multifocal disease
